"ShipmentID","ShipmentDate","ShipmentTime","VehicleID","From_WarehouseID","To_WarehouseID","Distance_Covered","Weight_Carried"
1,"2021-12-01","10:34:00",1,1,2,2900,5500
2,"2021-12-04","12:20:00",1,2,1,3025,5700
3,"2021-12-01","14:04:00",5,3,5,950,9500
4,"2021-12-07","11:15:00",5,5,1,1900,9820
5,"2021-12-15","09:35:00",8,4,2,2100,19750
6,"2021-12-27","10:45:00",8,2,3,1150,18505
7,"2022-01-02","15:21:00",6,1,2,2950,17980
8,"2022-01-15","10:00:00",6,2,1,2847,19550
9,"2022-01-18","16:34:00",2,3,4,1200,5800
10,"2022-01-25","13:30:00",2,4,2,2250,5650
11,"2022-01-25","10:30:00",1,1,5,1850,5650
12,"2022-02-02","14:10:00",1,5,2,1200,5890
13,"2022-01-21","11:14:00",5,4,2,2150,9675
14,"2022-02-01","10:55:00",5,2,1,3150,9413
